사마,99,198
다나,59,143
다사,45,157
가나,68,199
바나,88,192
마사,94,170
사라,83,187
라사,72,167
마라,51,185
바마,44,159
다사,67,188
마다,54,163
라다,93,186
바바,79,193
가다,41,162
나바,54,174
바마,96,156
나사,92,198
라마,89,197
사라,45,194
라라,63,165
가바,61,193
다다,45,194
바사,84,182
마라,84,158
가가,42,161
바다,89,188
다라,93,145
바사,77,158
나마,74,141
사사,77,149
가가,94,187
마사,65,191
바사,75,142
바라,81,153
나사,50,156
바바,42,162
라바,98,170
바나,76,173
라바,47,164
사사,88,142
마마,86,150
마사,62,199
나나,71,187
나나,52,155
다라,88,179
다라,67,183
라가,61,172
바라,94,149
나다,76,177
나라,97,190
바다,71,163
나사,91,149
마마,93,188
다라,94,176
다바,69,167
라라,61,163
사다,61,198
가다,77,190
마라,89,191
마다,59,152
사바,45,182
사다,51,182
나나,76,171
나가,73,148
다사,62,194
마다,45,198
바가,43,140
사나,75,194
다가,44,179
나마,54,194
나다,83,159
바나,56,181
바다,41,153
사라,92,148
라가,67,164
라다,57,164
바바,75,152
라나,67,178
마사,80,146
사라,58,184
다마,55,193
다나,48,173
마다,64,195
바다,52,153
바가,61,185
다사,74,188
라바,69,141
라나,98,193
가라,58,148
가라,95,174
라가,97,167
마사,98,141
다다,82,151
마라,64,176
사가,89,174
다가,64,159
마마,55,157
사나,54,191
바다,73,160
사사,91,198
가바,70,187
마라,79,196
사사,63,194
가나,51,152
사마,59,153
가라,70,173
나가,57,168
사나,77,193
다마,57,153
가바,55,182
나가,70,199
마다,75,162
마사,65,174
마마,71,148
마마,71,144
다바,86,150
라마,40,171
나사,85,170
라마,88,193
마라,65,186
가가,56,155
마바,91,179
사마,89,187
가마,49,155
사사,88,193
사사,98,170
가사,70,141
다가,69,172
라사,48,165
나나,80,175
마사,49,196
다사,95,172
바다,43,193
나라,61,167
마바,41,140
가라,97,157
가마,57,149
라다,46,156
나사,79,159
다마,71,197
다다,82,199
가라,98,198
나나,59,153
바다,98,160
사마,92,192
라마,72,174
가다,59,140
바바,67,195
사바,68,143
라나,59,184
가바,48,158
바나,67,141
가사,78,192
바라,61,173
바라,82,196
마라,96,168
마가,76,171
바다,55,192
나라,58,198
나바,60,167
라다,82,172
가바,72,160
나라,64,189
나사,62,185
다라,74,160
사마,51,155
나바,54,187
바바,44,170
사라,75,196
다가,95,179
다가,49,146
가라,55,178
마바,82,141
나가,60,198
라바,89,199
다가,50,158
라사,42,147
바라,52,153
다마,71,150
가가,96,178
가사,50,192
다다,83,168
라라,58,172
가바,88,142
나사,74,199
사마,71,192
나바,90,185
가사,46,159
마나,74,162
바바,82,193
나마,55,189
다라,66,193
마가,56,155
바나,66,161
가가,74,165
마마,81,174
나바,76,188
가나,52,180
마나,50,179
다나,70,179
사사,55,163
사바,91,143
사다,49,148
가마,44,143
마바,95,197
나바,67,169
사가,96,179
나나,41,193
나나,68,148
라라,87,154
다라,45,176
마다,63,173
라라,40,161
사라,73,184
마나,79,164
바바,56,146
사라,70,173
